customers_id;plans_id;start_date;status;customers_name;email;signup_date;devices_id;plans_name;data_limit;monthly_fee;device_name;os
2472;8;2025/01/07;Active;Mr. Marcus Bryant;duncangregory@example.net;2025/02/09;1188;include;32;16;quality;Linux
1401;89;2025/02/20;Inactive;Kelly Rhodes;ramoscarol@example.com;2025/01/07;2247;nature;14;58;ten;iOS
258;29;2025/01/20;Inactive;Daniel Parks;dixondavid@example.net;2025/02/13;1418;set;3;41;figure;Android
1850;97;2025/01/05;Inactive;Andrea Cook;angelapotts@example.net;2025/01/05;2876;say;30;21;most;iOS
3645;98;2025/01/16;Inactive;Sharon Austin;woodspencer@example.net;2025/01/23;393;candidate;52;70;system;Android
3911;8;2025/01/31;Inactive;Whitney Coleman;ccarter@example.com;2025/01/19;2085;include;32;16;police;Linux
3162;66;2025/02/11;Active;James Willis;whitefelicia@example.net;2025/01/05;25;production;43;57;others;iOS
51;52;2025/01/23;Inactive;William Schmidt;kellerjoseph@example.org;2025/01/26;2021;sport;91;52;simple;iOS
3769;49;2025/02/14;Inactive;John Moore;logandonald@example.net;2025/02/15;597;name;91;82;face;Windows
3743;62;2025/02/22;Inactive;James Casey;ashleynicole@example.com;2025/01/02;2979;summer;9;38;agreement;iOS
3270;57;2025/01/03;Inactive;Chelsea Taylor;youngsarah@example.com;2025/01/11;2224;government;50;54;art;Android
1054;91;2025/02/04;Active;Mr. Samuel Walker;johnstanley@example.com;2025/01/19;1787;long;68;22;oil;iOS
2166;71;2025/02/08;Inactive;Peter Evans;bairdbrandi@example.net;2025/01/28;1748;cover;21;86;mean;Linux
491;17;2025/01/07;Active;Tyrone Williams;rossjeffery@example.net;2025/01/08;100;someone;23;48;standard;Android
374;54;2025/02/10;Active;Victoria Gray;weaverjacob@example.org;2025/02/04;750;agreement;90;20;church;Linux
854;45;2025/01/07;Active;Jesus York;kristenfoster@example.org;2025/01/30;2691;onto;87;34;life;iOS
712;67;2025/01/30;Inactive;Lisa Padilla;nancy35@example.org;2025/01/14;327;mention;66;57;central;Linux
2680;63;2025/02/09;Inactive;Nicole Murphy;bradymichael@example.org;2025/02/14;835;account;58;85;feel;Android
2080;17;2025/02/02;Active;Sara Pitts;lisamills@example.com;2025/02/03;2183;someone;23;48;during;Linux
1666;17;2025/01/04;Active;Alyssa Molina;brianmiller@example.org;2025/02/07;2308;someone;23;48;realize;Windows
1447;100;2025/02/02;Inactive;Michael Hunter;valerie89@example.org;2025/02/17;2023;theory;81;23;upon;Windows
1040;34;2025/02/15;Active;Erin Levine;rodgerspatty@example.org;2025/02/03;2968;respond;76;46;outside;Windows
1199;3;2025/01/31;Inactive;Amanda Oconnor;ramirezbryan@example.com;2025/02/08;728;address;37;20;see;iOS
308;96;2025/02/09;Inactive;Nathaniel Yang;rgonzalez@example.org;2025/01/03;2024;deep;44;22;claim;Linux
3334;64;2025/01/18;Active;Leah Navarro;atkinsonjohn@example.org;2025/02/08;2017;like;96;99;enough;iOS
1185;79;2025/01/25;Active;Donna Shaw;samantha86@example.com;2025/01/19;781;base;44;65;perhaps;iOS
712;46;2025/01/16;Active;Lisa Padilla;nancy35@example.org;2025/01/14;327;level;19;65;central;Linux
755;71;2025/01/22;Inactive;Clayton Bell;cruzthomas@example.com;2025/01/23;1419;cover;21;86;worry;Linux
3709;43;2025/01/16;Inactive;Christopher Fox;kelly35@example.org;2025/02/18;80;candidate;92;12;after;Linux
1885;71;2025/01/07;Inactive;Christina Branch;joshuagarza@example.net;2025/01/02;1535;cover;21;86;bag;Windows
210;24;2025/01/29;Inactive;Carrie Caldwell;thomaselizabeth@example.com;2025/02/13;696;region;82;65;figure;Windows
382;86;2025/02/20;Active;Randy Carrillo;atkinsonstephanie@example.net;2025/01/27;2756;discussion;45;56;and;iOS
2653;35;2025/01/31;Inactive;Isaac Ballard;cmendez@example.net;2025/02/14;2833;treat;78;13;consider;iOS
2730;45;2025/01/18;Inactive;Kaitlin Chambers;jasoncalhoun@example.net;2025/02/03;1648;onto;87;34;before;Windows
1174;14;2025/01/20;Active;Lori Lee;taylor94@example.org;2025/01/12;1625;seem;50;92;clear;Android
1227;7;2025/02/13;Active;Jason Reid;james55@example.com;2025/02/09;2612;most;15;70;people;iOS
3691;80;2025/02/20;Inactive;Adrian Jensen;vhenry@example.net;2025/02/20;2113;purpose;44;71;find;Android
1276;58;2025/02/05;Active;Jennifer Barnes;robin08@example.org;2025/02/18;428;nor;26;41;light;Windows
3430;80;2025/02/01;Inactive;Nicholas Hall;whitakerkevin@example.com;2025/02/09;1863;purpose;44;71;yes;Windows
1189;65;2025/01/24;Active;Danielle Young;fdiaz@example.com;2025/01/30;1353;idea;70;72;leg;Windows
3674;87;2025/01/09;Inactive;Kathleen Thompson;nryan@example.net;2025/01/06;518;might;23;26;trial;Linux
3973;29;2025/01/28;Active;Carrie West;littleduane@example.net;2025/02/04;2452;set;3;41;ground;Windows
3949;1;2025/01/17;Inactive;Sheila Ward;stewartkimberly@example.org;2025/01/29;976;sometimes;58;18;hear;Windows
668;93;2025/02/17;Inactive;Mary Ross;whitejohn@example.com;2025/02/01;1168;training;23;80;sing;Windows
1161;51;2025/01/24;Inactive;Michael Lee;yduncan@example.org;2025/01/01;2379;most;57;45;knowledge;Linux
